_id,map_id,ogc_fid,stop_numbe,name,category,reference,language,the_geom
0,bus_line_1_no_61,104,61,ស្តុបសណ្ឋាគារស,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000038B39F7B39FA1D4137545FEC43833341
1,bus_line_1_no_37,52,38,សួនច្បារឃ្លាំងសូគីម៉ិច,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000000558135765F61D4153974A2079963341
2,bus_line_1_no_36,50,37,វិទ្យាល័យឬស្សីកែវ,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000065780F8BAFF51D41AE74473797963341
3,bus_line_1_no_39,56,40,គី្លនិករ៉ាក់,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000C604461F9DF91D4192078C3CAE933341
4,bus_line_1_no_38,54,39,សួនច្បារឃ្លាំងសូគីម៉ិច,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000BE21E81851F91D41FF85F5BBB0933341
5,bus_line_1_no_43,66,44,សាលាបឋមសិក្សាពញ្ញាក្រែក,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000BB07ADE4F7F91D4196CD284208903341
6,bus_line_1_no_42,64,43,មូដែន ៥,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000096F335EB5F91D41930642EE2B903341
7,bus_line_1_no_45,70,46,មណ្ឌលសុខភាពដូនពេញ,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000956EF5A39FF91D41EAF0FEC0808D3341
8,bus_line_1_no_44,68,45,សាលាបឋមសិក្សាពញ្ញាក្រែក,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000225A7BD63EF91D411048962C878D3341
9,bus_line_1_no_47,74,48,រង្វង់មូលស្តាតចាស់,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000B1A92D6F8AFA1D41F73D46AFCF8B3341
10,bus_line_1_no_46,72,47,មណ្ឌលសុខភាពដូនពេញ,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000007B8BF1657FA1D4155CDF094C28B3341
11,bus_line_1_no_48,76,49,រង្វង់មូលស្តាតចាស់,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000550FC51E66F51D41DDC8F93F7B8A3341
12,bus_line_1_no_51,82,51,មន្ទីរពេទ្យ កាល់ម៉ែត្រ,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000098B9F618B7F61D41F7C44A0A11893341
13,bus_line_1_no_50,80,50,មន្ទីរពេទ្យ កាល់ម៉ែត្រ,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000008D149BFF6DF61D4110533D1024893341
14,bus_line_1_no_53,86,53,ក្រសួងពត៌មាន,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000B233300DD0F71D419A0B030257873341
15,bus_line_1_no_52,84,52,ក្រសួងពត៌មាន,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000DB3C08BC8DF71D41B8F69F3F5A873341
16,bus_line_1_no_55,90,55,សាលាពេទ្យ,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000DE3D1AD585F81D41BE66067C24863341
17,bus_line_1_no_54,88,54,សាលាពេទ្យ,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000008AE443E09EF81D41DCC5B7918C853341
18,bus_line_1_no_56,92,56,ស្តុប ប៉េកាសេ,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000005DD38F2337F91D41C9C651DB79843341
19,bus_line_1_no_59,98,59,ផ្សារធំថ្មី,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000006A787822C7F91D414C8D11C20D843341
20,bus_line_1_no_60,102,60,ស្តុបសណ្ឋាគារស,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000000C6C1E824FFA1D4120EF0392B8823341
21,bus_line_1_no_64,110,64,ស្តុបផ្លូវអាចារ្យស្វា,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000B3526FDC27FC1D41C5493D907C7F3341
22,bus_line_1_no_67,116,67,វិទ្យាល័យព្រះយុគន្ធរ,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000F0291BDE2CFD1D413252BF96617E3341
23,bus_line_1_no_69,120,69,ផ្លូវមុនីវង្សកែងផ្លូវ២៩៤,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000ED939F1947FE1D411E3EEC43D37C3341
24,bus_line_1_no_68,118,68,ផ្លូវមុនីវង្សកែងផ្លូវ២៩៤,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000071B934BBD1FD1D4177AC0FD0A87C3341
25,bus_line_1_no_71,126,71,ស្តុបមេភ្លើង,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000002AD9CBC24FFF1D4189CE4A17D37A3341
26,bus_line_1_no_70,124,70,ក្រសួងផែនការ,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000000DFEB6F131FF1D417E20F223857A3341
27,bus_line_1_no_73,130,73,ស្តុបបូកគោ,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000FD56208376001E410E7011641D793341
28,bus_line_1_no_72,128,72,ស្តុបបូកគោ,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000D50AFAD135001E411884BB3F9B783341
29,bus_line_1_no_75,134,75,ក្រសួងរៀបចំដែនដី,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000506068FAA4011E41C4F930C001773341
30,bus_line_1_no_74,132,74,ក្រសួងរៀបចំដែនដី,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000007E5C169348011E413AFF75E9B6763341
31,bus_line_1_no_77,138,77,ក្រសួងសង្គមកិច្ច,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000F0C1422897021E419C6F419D81753341
32,bus_line_1_no_76,136,76,សាលាច្បាប់,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000109A1052D8011E4164172087BE753341
33,bus_line_1_no_79,142,79,វិទ្យាល័យបឹងត្របែក,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000A0BD972F04031E4116924D8EA4743341
34,bus_line_1_no_78,140,78,វិទ្យាល័យបឹងត្របែក,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000000E887508B3021E41F80B042975743341
35,bus_line_1_no_81,148,81,ស្ថានីយ៍ឧតុនិយម,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000D1EC2BFEA8061E41F7211E2A38733341
36,bus_line_1_no_80,146,80,ស្ថានីយ៍ឧតុនិយម,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000008A64748F60061E41E1BA9DA11D733341
37,bus_line_1_no_83,152,83,ស្ពានអាកាសក្បាលថ្នល់,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000008520B8DF960D1E419BC388B60B733341
38,bus_line_1_no_82,150,82,ស្ពានអាកាសក្បាលថ្នល់,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000009FABBDFF50C1E41AAEF1C88D7723341
39,bus_line_1_no_85,156,85,ផ្សារច្បារអំពៅ,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000D91EE3903D181E4100E30478BD733341
40,bus_line_1_no_84,154,84,ផ្សារច្បារអំពៅ,ខ្សែរថយន្តក្រុងទី ១,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000DA70793E22191E4179D6425C9B733341
41,bus_line_5_no_61,1268,61,វិទ្យាស្ថានវ៉ាន់ដា,ខ្សែរថយន្តក្រុងទី ៥ B,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000E78DCAC8B7E71D415B81B2BB367A3341
42,bus_line_5_no_64,1274,64,វត្តទួលទំពូង,ខ្សែរថយន្តក្រុងទី ៥ B,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F0000010000000101000000800F1214EBF41D41E64A9843F0783341
43,bus_line_5_no_65,1276,65,វត្តទួលទំពូង,ខ្សែរថយន្តក្រុងទី ៥ B,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000013A928E87EF51D41281A7B5ED8783341
44,bus_line_5_no_66,1278,66,ស្តុុបបូកគោ,ខ្សែរថយន្តក្រុងទី ៥ B,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F00000100000001010000009F9B9B7E38FE1D4141AF2128FA783341
45,bus_line_5_no_67,1280,67,ស្តុុបបូកគោ,ខ្សែរថយន្តក្រុងទី ៥ B,Brochure_of_city_bus_stop__26.12.2018.pdf,Khmer,0104000020887F000001000000010100000019BC0ECD39FF1D41BCD1A878E3783341
